id_contrat,code_regle,nom_regle,description,detail,score_risque,niveau,source,date_detection
BA000041,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 16 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000041,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : United Arab Emirates,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000041,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000052,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000055,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 88 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000055,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000055,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000055,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Panama,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000055,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000060,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000062,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 30 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000062,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000062,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000062,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : United Arab Emirates,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000062,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000071,R12,Arbitrage vers fonds offshore,Arbitrage vers un fonds dans une juridiction à risque,Arbitrage vers fonds suspect : PE_CAY_01,0.75,HIGH,LC 18/9 — Questions I35/I36,2026-08-06
BA000081,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000085,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000090,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000092,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000092,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000096,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000100,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000100,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 39 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000108,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 35 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000108,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000108,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000108,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Hong Kong,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000108,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000112,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000114,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 33 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000114,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000114,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000114,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Cayman Islands,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000114,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000115,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000119,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000125,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 83 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000125,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000125,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000125,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000125,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000129,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000136,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000143,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000145,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 2 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000146,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 43 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000146,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000146,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000146,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : United Arab Emirates,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000146,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000150,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000161,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000162,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000163,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000171,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000172,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 16 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000190,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000195,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 3 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000198,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000199,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000199,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000204,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000213,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 80 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000213,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000213,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Destination fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000213,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000213,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Cayman Islands,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000213,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000214,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 55 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000214,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000214,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000214,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000214,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000214,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,4 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000215,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 43 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000215,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000215,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000215,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Hong Kong,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000215,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000222,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000223,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 57 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000223,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000223,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Destination fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000223,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000223,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Cayman Islands,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000223,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000231,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000245,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000248,R12,Arbitrage vers fonds offshore,Arbitrage vers un fonds dans une juridiction à risque,Arbitrage vers fonds suspect : PE_CAY_01,0.75,HIGH,LC 18/9 — Questions I35/I36,2026-08-06
BA000253,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000253,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000258,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000261,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 76 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000261,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000261,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000261,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Hong Kong,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000261,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000265,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000271,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000277,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000278,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000281,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000282,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000286,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000289,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000299,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000306,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 17 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000306,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000310,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 33 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000310,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000310,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000310,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Hong Kong,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000310,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000317,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000318,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000319,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 69 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000319,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000319,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000319,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000319,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000320,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 59 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000320,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000320,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000320,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Cayman Islands,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000320,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000325,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000328,R05,PEP avec rachat,Client PEP effectuant un rachat,Client PEP (PPE1) avec 1 rachat(s),0.85,HIGH,Procédure AML — Vigilance renforcée PEP,2026-08-06
BA000333,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 90 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000333,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000333,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000333,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : Panama,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000333,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000334,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000347,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000348,R08,Structure opaque,Client avec structure juridique complexe (personne morale),Client avec structure juridique morale,0.55,MEDIUM,LC 18/9 — Question I12,2026-08-06
BA000350,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000352,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000353,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 83 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000353,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000353,R03,Pays interdit,Transaction vers ou depuis un pays interdit,Origine fonds pays interdit : Monaco,1.0,CRITICAL,Classification pays Wealins,2026-08-06
BA000353,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000353,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000360,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 56 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000360,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000360,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000360,R06,Score LC189 élevé,Score LC 18/9 supérieur à 15,Score LC 18/9 = 24 > 15,0.7,HIGH,LC 18/9 — Seuil HIGH,2026-08-06
BA000360,R07,Pays élevé dans les flux,Banque origine ou destination dans pays à risque élevé,Banque origine dans pays élevé : United Arab Emirates,0.6,MEDIUM,LC 18/9 — Questions I20 / I47,2026-08-06
BA000360,R09,Rachat précoce et perte combinés,Rachat précoce ET perte acceptée simultanément,Rachat précoce ET perte acceptée — pattern blanchiment classique,0.95,CRITICAL,LC 18/9 — Question I50,2026-08-06
BA000362,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000365,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000366,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000367,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
